,title,year,runtime_minutes,genres,averagerating,numvotes,studio,domestic_gross_x,foreign_gross,release_date,production_budget,worldwide_gross,domestic_roi,worldwide_roi,original_language,original_title,popularity,vote_average,vote_count,title_change
522,Office Christmas Party,2016.0,105.0,Comedy,5.8,59253.0,Par.,54800000.0,1.0,2016-12-09,45000000.0,91323299.0,0.2170554222222222,1.0294066444444445,en,Office Christmas Party,10.729000000000001,5.6,1191,False
523,Olympus Has Fallen,2013.0,119.0,"Action,Thriller",6.5,235443.0,FD,98900000.0,1.0,2013-03-22,70000000.0,172878928.0,0.41325131428571427,1.4696989714285715,en,Olympus Has Fallen,13.864,6.2,4086,False
524,On the Basis of Sex,2018.0,120.0,"Biography,Drama",6.9,12083.0,Focus,24600000.0,1.0,2018-12-25,20000000.0,38073377.0,0.23113435,0.90366885,en,On the Basis of Sex,32.624,7.4,225,False
525,One for the Money,2012.0,91.0,"Action,Comedy,Crime",5.3,38473.0,,,0.0,2012-01-27,42000000.0,36197221.0,-0.37108269047619047,-0.13816140476190475,en,One for the Money,8.62,5.5,615,False
526,Only God Forgives,2013.0,90.0,"Crime,Drama",5.7,100318.0,RTWC,779000.0,1.0,2013-07-19,4800000.0,4494560.0,-0.8383647916666667,-0.06363333333333333,en,Only God Forgives,10.196,5.8,1396,False
527,Only the Brave,2017.0,134.0,"Action,Biography,Drama",7.7,45482.0,,,0.0,2017-10-20,38000000.0,24555177.0,-0.5173670789473684,-0.3538111315789474,en,Only the Brave,14.163,7.0,603,False
528,Open Road,2013.0,85.0,"Action,Drama,Thriller",5.5,1619.0,,,0.0,2013-05-21,3000000.0,47469.0,-1.0,-0.984177,en,Open Road,3.2710000000000004,5.1,20,False
529,Ouija,2014.0,89.0,"Horror,Mystery,Thriller",4.5,44054.0,Uni.,50900000.0,1.0,2014-10-24,5000000.0,103300632.0,9.171202,19.6601264,en,Ouija,15.389000000000001,5.1,1670,False
530,Ouija: Origin of Evil,2016.0,99.0,"Drama,Horror,Mystery",6.1,47099.0,Uni.,35100000.0,1.0,2016-10-21,9000000.0,81831866.0,2.904945,8.092429555555556,en,Ouija: Origin of Evil,11.823,6.0,1416,False
531,Our Family Wedding,2010.0,103.0,"Comedy,Romance",4.9,6417.0,FoxS,20300000.0,1.0,2010-03-12,14000000.0,21410546.0,0.4468057857142857,0.5293247142857143,en,Our Family Wedding,5.025,5.5,57,False
532,Our Idiot Brother,2011.0,90.0,"Comedy,Drama",6.4,80738.0,Wein.,24800000.0,0.0,2011-08-26,5000000.0,25861249.0,3.962966,4.1722498,en,Our Idiot Brother,8.523,6.1,527,False
533,Overboard,2018.0,112.0,"Comedy,Romance",5.9,25607.0,,,0.0,2018-05-04,12000000.0,85369830.0,3.19301025,6.1141525,en,Overboard,19.477,6.3,535,False
534,Oz the Great and Powerful,2013.0,130.0,"Adventure,Family,Fantasy",6.3,192045.0,,,0.0,2013-03-08,200000000.0,490359051.0,0.17385498,1.451795255,en,Oz the Great and Powerful,13.377,5.8,4829,False
535,Pacific Rim,2013.0,131.0,"Action,Adventure,Sci-Fi",6.9,443667.0,WB,101800000.0,1.0,2013-07-12,190000000.0,411002906.0,-0.4641952315789474,1.1631731894736843,en,Pacific Rim,16.759,6.8,7632,False
536,Pacific Rim: Uprising,2018.0,111.0,"Action,Adventure,Sci-Fi",5.6,89462.0,,,0.0,2018-03-23,155000000.0,290930148.0,-0.6137127419354839,0.8769686967741935,en,Pacific Rim: Uprising,30.019000000000002,5.9,2213,False
537,Pain & Gain,2013.0,129.0,"Action,Comedy,Crime",6.4,187820.0,,,0.0,2013-04-26,26000000.0,81275291.0,0.918280423076923,2.125972730769231,en,Pain & Gain,16.509,6.1,2500,False
538,Pan,2015.0,111.0,"Adventure,Comedy,Family",5.8,55867.0,WB,35100000.0,1.0,2015-10-09,150000000.0,151525973.0,-0.7660778666666667,0.010173153333333334,en,Pan,13.054,5.9,1701,False
539,Paper Towns,2015.0,109.0,"Comedy,Drama,Mystery",6.3,87742.0,Fox,32000000.0,1.0,2015-07-24,12000000.0,85450484.0,1.666692,6.120873666666666,en,Paper Towns,11.564,6.0,3587,False
540,ParaNorman,2012.0,92.0,"Adventure,Animation,Comedy",7.0,87250.0,Focus,56000000.0,1.0,2012-08-17,60000000.0,108119662.0,-0.06661581666666666,0.8019943666666667,en,ParaNorman,13.32,6.8,1358,False
541,Paranormal Activity 3,2011.0,83.0,"Horror,Mystery,Thriller",5.8,85689.0,Par.,104000000.0,1.0,2011-10-21,5000000.0,207039844.0,19.8057614,40.4079688,en,Paranormal Activity 3,9.669,5.9,1197,False
542,Paranormal Activity 4,2012.0,88.0,"Horror,Mystery,Thriller",4.6,58408.0,Par.,53900000.0,1.0,2012-10-19,5000000.0,142817992.0,9.780067,27.5635984,en,Paranormal Activity 4,8.965,5.4,1026,False
543,Paranormal Activity: The Ghost Dimension,2015.0,88.0,"Horror,Mystery,Thriller",4.6,22361.0,Par.,18300000.0,1.0,2015-10-23,10000000.0,77959374.0,0.8297124,6.7959374,en,Paranormal Activity: The Ghost Dimension,8.157,5.2,774,False
544,Paranormal Activity: The Marked Ones,2014.0,84.0,"Horror,Mystery,Thriller",5.0,37147.0,Par.,32500000.0,1.0,2014-01-03,5000000.0,90904854.0,5.4924744,17.1809708,en,Paranormal Activity: The Marked Ones,9.446,5.3,752,False
545,Parental Guidance,2012.0,105.0,"Comedy,Family",6.1,23711.0,Fox,77300000.0,1.0,2012-12-25,25000000.0,120832383.0,2.09069184,3.83329532,en,Parental Guidance,10.124,5.8,276,False
546,Parker,2013.0,118.0,"Action,Crime,Thriller",6.2,105529.0,FD,17600000.0,1.0,2013-01-25,35000000.0,48543388.0,-0.4966674,0.38695394285714285,en,Parker,14.95,5.8,1868,False
547,Parkland,2013.0,93.0,"Drama,History,Mystery",6.4,14036.0,,,0.0,2013-10-04,10000000.0,1616353.0,-0.9358561,-0.8383647,en,Parkland,6.056,6.1,206,False
548,Passengers,2016.0,116.0,"Drama,Romance,Sci-Fi",7.0,311083.0,,,0.0,2016-12-21,110000000.0,302239672.0,-0.09077546363636364,1.7476333818181817,en,Passengers,14.074000000000002,6.8,7869,False
549,Paterson,2016.0,118.0,"Comedy,Drama,Romance",7.4,55285.0,BST,2200000.0,0.0,2016-12-28,5000000.0,10727536.0,-0.5717154,1.1455072,en,Paterson,9.486,7.1,736,False
550,Patriots Day,2016.0,133.0,"Action,Crime,Drama",7.4,76204.0,LGF,31900000.0,1.0,2016-12-21,40000000.0,52837989.0,-0.202840975,0.320949725,en,Patriots Day,15.435,6.9,1337,False
